# Mock DESY5-like SNe data
# model: exp
# Cosmological parameters: output=, theta_s_100=1.041, omega_b=0.02223, omega_cdm=0.11985000000000001, ln10^{10}A_s=3.036, n_s=0.9649, tau_reio=0.0544, m_ncdm=0.02, N_ur=0.00441, N_ncdm=1, deg_ncdm=3, T_ncdm=0.71611, Omega_Lambda=0.0, Omega_fld=0.0, Omega_scf=-1, scf_parameters=0.0,0.0,0.0,0.0,0.0,0.0, scf_tuning_index=1, attractor_ic_scf=no, Lambda0_scf=1.0, scf_potential=exponential, lambda_scf=1.7, phi_i_scf=0, 
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS PROBIA_BEAMS
SN: Gaia16agf    150 0.02509 0.02507 35.50621   0.17730  0.07310  0.05631  1.00000
SN: 2003it        63 0.02510 0.02528 35.50751   0.16410  0.07300  0.04157  1.00000
SN: 2007cq        64 0.02510 0.02604 35.50912   0.13310  0.07300  0.03455  1.00000
SN: AT2017cfc    150 0.02512 0.02403 35.50657   0.12110  0.07300  0.03976  1.00000
SN: 2007sw        65 0.02517 0.02428 35.51137   0.15590  0.07280  0.04029  1.00000
SN: 2002he        63 0.02519 0.02441 35.51335   0.12460  0.07280  0.03610  1.00000
SN: ASASSN-16bq  150 0.02534 0.02493 35.52720   0.11350  0.07240  0.04420  1.00000
SN: PS15ahs      150 0.02534 0.02551 35.52842   0.11050  0.07240  0.03372  1.00000
SN: PSNJ0153424  150 0.02556 0.02565 35.54727   0.15160  0.07170  0.03353  1.00000
SN: SN2017hn     150 0.02557 0.02385 35.54430   0.12200  0.07170  0.03342  1.00000
SN: SN2017ms     150 0.02591 0.02448 35.57398   0.11460  0.07080  0.02933  1.00000
SN: 2005M         64 0.02598 0.02484 35.58053   0.13910  0.07060  0.04350  1.00000
SN: SN2017mf     150 0.02598 0.02561 35.58216   0.11680  0.07060  0.07984  1.00000
SN: 2005ms        64 0.02669 0.02522 35.63917   0.10580  0.06870  0.05624  1.00000
SN: ASASSN-15mf  150 0.02695 0.02604 35.66170   0.10320  0.06810  0.03461  1.00000
SN: ASASSN-17at  150 0.02713 0.02537 35.67455   0.11560  0.06760  0.04662  1.00000
SN: 2007co        64 0.02731 0.02696 35.69210   0.14500  0.06720  0.14823  1.00000
SN: 2007su        65 0.02740 0.02783 35.70099   0.22190  0.06700  0.18365  1.00000
